design_id,timestamp,formula,metal,x_element,ratio,E_coh,WF,W_sur,E_coh_norm,density_sur,l_M-X,l_M2-X
1,20250119_204400,Mn₂CTₓ,Mn,C,2:1,-410.32455,5.1739297,251.4969,-106.37192,2.1941273,1.615866,1.8147303
2,20250119_204400,Mn₂CTₓ,Mn,C,2:1,-397.7193,5.1616178,255.71657,-108.37301,2.1595619,1.6452674,1.8461978
3,20250119_204400,Mn₂CTₓ,Mn,C,2:1,-446.14093,4.769878,247.41747,-120.099236,2.0990112,1.5936607,1.7836032
4,20250119_204400,Mn₂CTₓ,Mn,C,2:1,-398.25916,5.1893497,252.48055,-104.33106,2.1823957,1.6217864,1.8277957
5,20250119_204400,Mn₂CTₓ,Mn,C,2:1,-373.3802,4.7957854,256.14368,-100.023285,2.2645893,1.7067839,1.9124843
6,20250119_204400,Ti₂CTₓ,Ti,C,2:1,-381.9448,5.3172436,254.35332,-101.76248,2.2595375,1.6497049,1.8672013
7,20250119_204400,Ti₂CTₓ,Ti,C,2:1,-411.73776,5.628808,252.34418,-110.80559,2.1851978,1.5964987,1.8010327
8,20250119_204400,Mn₂CTₓ,Mn,C,2:1,-391.11374,4.902387,259.4296,-103.52708,2.1948056,1.6677085,1.8683287
9,20250119_204400,Mn₂CTₓ,Mn,C,2:1,-422.747,5.035854,251.01613,-112.00669,2.1687717,1.6104194,1.8151685
10,20250119_204400,Mn₂CTₓ,Mn,C,2:1,-410.67447,4.637016,252.37964,-107.29273,2.2917466,1.642367,1.8441029
